Object,GPV-1 Prediction,Ground Truth
Accent Paving,1,0
Barrier Post,1,0
Barrier Stump,0,0
Bench,0,0
Bicycle,0,0
Brick,1,0
Bridge,0,0
Building,1,0
Bus,1,0
Bus Stop,1,0
Car,0,0
Chair,0,0
Closed Sidewalk,0,0
Cloudy,0,0
Counter,1,0
Crosswalk,1,0
Curb,0,0
Day,0,0
Dog,0,0
Driveway(flat),0,0
Elevator,1,0
Escalator,1,0
Fence,0,0
Fire hydrant,0,0
Flush Door,0,0
Foldout Sign,1,0
Fountain,1,0
Gate,0,0
Guide dog,0,0
Gutter,0,0
Hose,1,0
Jaywalker,0,0
Lamp Post,0,0
Mail box,1,0
Maintenance Vehicle,0,0
Motorcycle,0,0
Night,0,0
Obstacle on the sidewalk,0,0
Obstacle on the street,0,0
Parallel Parking Spot,0,0
Paratransit vehicle,0,0
Pedestrian Crossing,1,0
Person,1,0
Person with a disability,1,0
Pillar,1,0
Pole,0,0
Puddle,1,0
Push button,0,0
Railing,0,0
Raining,0,0
Raised Entryway,0,0
Retaining Wall,1,0
Road,0,0
Road Divider,0,0
Road Shoulder,0,0
Roadside Parking,0,0
Sidewalk,1,0
Sidewalk pits,1,0
Sign,1,0
Sign Post,1,0
Sloped Driveway,0,0
Slopped Curb,0,0
Snow,0,0
Stairs,0,0
Stone Block,1,0
Stop sign,1,0
Street Vendor,1,0
Sunny,0,0
Table,0,0
Tactile Paving,1,0
Traffic Signals,1,0
Train Platform,0,0
Train Tracks,0,0
Trash bins,1,0
Trash on roads,0,0
Tree,0,0
Turnstile,0,0
Uncontrolled Crossing,1,0
Uneven Stairs,0,0
Unpaved Road,0,0
Unpaved Sidewalk,0,0
Vegetation,0,0
Wall,1,0
Water leakage,0,0
Water Pipes,1,0
Wet surface,0,0
Wheelchair,0,0
White Cane,0,0
Yard Waste,0,0
Zebra Crossing,0,0
